00:06:00,exercise for 30 min on the treadmill,0
00:39:00,sleep bed 01 (10 h),0
10:09:00,take a shower without hair washing (women),0
11:10:00,do laundry at 30°C (by variable),0
11:29:00,go shopping for food in the supermarket (1_5 h),0
13:32:00,"run the dryer with wet laundry, only below 15°C (by variable)",0
14:18:00,change decorations,0
16:40:00,go to the toilet,0
16:45:00,clean the bath,0
17:42:00,watch a movie for 1 h 30 min with home cinema system,0
19:22:00,make frozen pizza and eat it,0
19:52:00,cook pasta and eat it,0
20:16:00,wash 1 dishes by hand,0
20:43:00,heat up leftovers,0
21:04:00,make soup,0
21:18:00,wash 2 dishes by hand,0
21:43:00,go to the toilet,0
21:48:00,listen to music on compact hifi (2 h),0
23:56:00,use the computer (1 h),1
00:44:00,change decorations,0
02:53:00,exercise for 30 min on the treadmill,0
03:27:00,wash 2 dishes by hand,0
04:00:00,go to the toilet,0
04:06:00,watch a movie for 1 h 30 min with home cinema system,0
05:51:00,take a shower with hair washing (women) (20 min hair drying),0
06:48:00,eat breakfast (1 h),0
07:46:00,work at the office (09 h),0
18:17:00,make frozen pizza and eat it,0
19:11:00,wash 1 dishes by hand,0
19:48:00,cook pasta and eat it,0
20:13:00,heat up leftovers,0
20:36:00,fry two eggs and eat them with toast,0
20:53:00,wash 3 dishes by hand,0
21:22:00,go to the toilet,0
21:27:00,use the computer (1 h),0
22:23:00,sleep bed 01 (10 h),0
09:36:00,get ready in the morning (women),0
09:58:00,exercise for 30 min on the treadmill,0
10:31:00,wash 1 dishes by hand,0
10:59:00,take a shower with hair washing (women) (20 min hair drying),0
11:58:00,eat breakfast (1 h),0
12:47:00,change decorations,0
15:09:00,take nap on the weekend (2 h),0
16:45:00,go to the toilet,0
16:50:00,clean the bath,0
17:46:00,watch a movie for 1 h 30 min with home cinema system,0
19:33:00,go to a dancing class,0
23:22:00,go to the toilet,0
00:06:00,change decorations,1
02:15:00,wash 1 dishes by hand,0
02:45:00,exercise for 30 min on the treadmill,0
03:12:00,go to the toilet,0
03:17:00,watch a movie for 1 h 30 min with home cinema system,0
04:39:00,listen to music on compact hifi (2 h),0
06:32:00,eat breakfast (1 h),0
07:34:00,go shopping for food in the supermarket (1_5 h),0
09:36:00,take a shower with hair washing (women) (20 min hair drying),0
11:03:00,go to the toilet,0
11:09:00,clean the bath,0
12:11:00,vacuum the household,0
12:58:00,use the computer (1 h),0
14:02:00,watch TV (1 h),0
15:04:00,go to the toilet,0
15:10:00,watch sports on TV with SAT Reciever (2 h),0
17:31:00,watch the news,0
17:56:00,heat up leftovers,0
18:17:00,cook pasta and eat it,0
18:40:00,wash 2 dishes by hand,0
19:13:00,make frozen pizza and eat it,0
19:43:00,make soup,0
19:57:00,fry two eggs and eat them with toast,0
20:15:00,wash 4 dishes by hand,0
20:48:00,go to the toilet,0
21:59:00,sleep bed 01 (10 h),0
07:57:00,get ready in the morning (women),0
08:18:00,exercise for 30 min on the treadmill,0
08:44:00,take a shower with hair washing (women) (20 min hair drying),0
09:49:00,eat breakfast (1 h),0
10:53:00,wash 1 dishes by hand,0
11:22:00,change decorations,0
12:58:00,go to the toilet,0
13:03:00,clean the bath,0
13:04:00,cook weekend lunch for the family,0
16:07:00,take nap on the weekend (2 h),0
18:10:00,make frozen pizza and eat it,0
18:37:00,cook pasta and eat it,0
19:06:00,wash 2 dishes by hand,0
19:36:00,go to a dancing class,0
23:23:00,go to the toilet,0
00:06:00,change decorations,1
01:36:00,exercise for 30 min on the treadmill,0
01:59:00,wash 1 dishes by hand,0
02:26:00,go to the toilet,0
02:31:00,watch a movie for 1 h 30 min with home cinema system,0
03:35:00,listen to music on compact hifi (2 h),0
